Cell_Type	Mean	SD
Neutrophils	0.295528628930318	0.0891243416628147
Monocytes	0.225139592490093	0.064773472325004
T.cells.CD4.memory.resting	0.136224737362028	0.0589330737180969
T.cells.CD4.naive	0.127574924363317	0.0475385761247957
T.cells.CD4.memory.activated	0.0483285922277379	0.0209042710755891
NK.cells.resting	0.0407650309793625	0.0305893296342929
B.cells.naive	0.0394799468553466	0.0195430086491545
T.cells.CD8	0.0262498068512965	0.0226195581298122
NK.cells.activated	0.0219168191614804	0.0259227308800603
Eosinophils	0.0150334421355734	0.0137547954663676
Mast.cells.resting	0.0120781508526754	0.00898312296552097
T.cells.gamma.delta	0.00567561426758026	0.0127009785695796
Dendritic.cells.activated	0.00241367840803314	0.00377336988867404
Macrophages.M0	0.00159769414361516	0.00385438093153615
Macrophages.M2	0.000802780554618825	0.00137627526683604
T.cells.regulatory..Tregs	0.000607843422390215	0.00213489252438832
Dendritic.cells.resting	0.000465444634862342	0.00192084754620942
Plasma.cells	0.00011727235967138	0.000360845507937554
B.cells.memory	0	0
T.cells.follicular.helper	0	0
Macrophages.M1	0	0
Mast.cells.activated	0	0
