x	Approved	Suggested.Symbol
ATHL1	FALSE	PGGHG
C11orf80	FALSE	TOP6BL
CXorf57	FALSE	RADX
EMR1	FALSE	ADGRE1
EMR2	FALSE	ADGRE2
EMR3	FALSE	ADGRE3
FAIM3	FALSE	FCMR
FAM198B	FALSE	GASK1B
FAM212B	FALSE	INKA2
FAM65B	FALSE	RIPOR2
FLJ13197	FALSE	KLF3-AS1
GPR1	FALSE	CMKLR2
GPR97	FALSE	ADGRG3
HIST1H2AE	FALSE	H2AC8
HIST1H2BG	FALSE	H2BC8
KIAA0226L	FALSE	RUBCNL
KIAA0754	FALSE	MACF1
KIRREL	FALSE	KIRREL1
LOC100130100	FALSE	LOC100130100
LOC126987	FALSE	LOC126987
LRMP	FALSE	IRAG2
MARCH3	FALSE	MARCHF3
SEPT5	FALSE	SEPTIN5
SEPT8	FALSE	SEPTIN8
VNN3	FALSE	VNN3P
